Real,Imag
-9.999917814513412662e-01,-4.054260693222161600e-03
-9.999833391877190891e-01,-5.772464549707004462e-03
-9.999157140670187349e-01,-1.298324927899012840e-02
-9.998943534726089100e-01,-1.453553898531963380e-02
-9.998748028316953862e-01,-1.582335812304768233e-02
-9.998026447869755584e-01,-1.986634030132823289e-02
-9.995045535078344034e-01,-3.147455348537436109e-02
-9.994878506869986357e-01,-3.200056763681779354e-02
-9.994328057572132717e-01,-3.367590794998091830e-02
-9.993564512213682915e-01,-3.587036941855177574e-02
-9.990917091116010562e-01,-4.261169774211542860e-02
-9.990514225259968795e-01,-4.354601185870756591e-02
-9.988267211655030842e-01,-4.842706976238152911e-02
-9.987547910724701161e-01,-4.988854888443128299e-02
-9.984664891792195407e-01,-5.535946157723825589e-02
-9.981251578025598370e-01,-6.120595854666794483e-02
-9.977562900151852876e-01,-6.695062161881289164e-02
-9.975028980163179737e-01,-7.062555096460523818e-02
-9.972544389510518137e-01,-7.405122546191172939e-02
-9.965746854384249787e-01,-8.269761993745916584e-02
-9.957844724195291652e-01,-9.172395809261957300e-02
-9.955871404532684599e-01,-9.384159932605661003e-02
-9.954478322350586161e-01,-9.530799178723825538e-02
-9.953245241979685742e-01,-9.658722239552167133e-02
-9.948792694238466350e-01,-1.010704668568537523e-01
-9.944961288315791181e-01,-1.047733255128148744e-01
-9.942303033773387533e-01,-1.072665085019720022e-01
-9.939290860776314185e-01,-1.100225969920531899e-01
-9.938217580329351541e-01,-1.109878969092265577e-01
-9.933255521604661409e-01,-1.153444728849568057e-01
-9.930736810426004091e-01,-1.174932509573156092e-01
-9.923663664022331909e-01,-1.233247535316051025e-01
-9.916463601648433102e-01,-1.289864193309526452e-01
-9.915805037910639941e-01,-1.294917159568495790e-01
-9.911225425904335307e-01,-1.329515158585490020e-01
-9.905657459854642077e-01,-1.370383263188193479e-01
-9.894271825051782487e-01,-1.450305158228687441e-01
-9.891290851229084247e-01,-1.470498315670561162e-01
-9.881970856093942324e-01,-1.531878585042042995e-01
-9.879746306658077071e-01,-1.546160701892172196e-01
-9.877757845553535310e-01,-1.558813633698656609e-01
-9.875897699408672237e-01,-1.570555516628693304e-01
-9.864620257193160713e-01,-1.639898527767685577e-01
-9.854961110458601015e-01,-1.696980115189952176e-01
-9.853978672071496137e-01,-1.702675638623123433e-01
-9.845488477331639787e-01,-1.751101551232635001e-01
-9.841117805935581941e-01,-1.775500022443399772e-01
-9.826053549887807659e-01,-1.857059943765192733e-01
-9.822109990448398831e-01,-1.877805989854344770e-01
-9.815800714878887279e-01,-1.910512058528276713e-01
-9.806901459310897184e-01,-1.955679873436659555e-01
-9.803627622846952105e-01,-1.972025718024847385e-01
-9.797075502938792368e-01,-2.004323224860753427e-01
-9.788165930227237244e-01,-2.047390466505609463e-01
-9.787467855056521948e-01,-2.050724990395788871e-01
-9.781287146615278427e-01,-2.080005229671091360e-01
-9.775096123633496559e-01,-2.108908668891172067e-01
-9.772133785137293582e-01,-2.122593056941813050e-01
-9.759443018442035545e-01,-2.180199983896187188e-01
-9.754708858900928981e-01,-2.201284869815678391e-01
-9.753481728639098458e-01,-2.206715697389036446e-01
-9.724895764576936275e-01,-2.329463965832820616e-01
-9.711368959485809915e-01,-2.385228067236967731e-01
-9.707756697065698104e-01,-2.399887478732161683e-01
-9.701514666057756697e-01,-2.424997563764814401e-01
-9.687107011832162273e-01,-2.481926215928089152e-01
-9.657138358028463099e-01,-2.596089122872097255e-01
-9.654415986232226521e-01,-2.606194920719656083e-01
-9.638429907552742426e-01,-2.664708036013077597e-01
-9.632182401348780010e-01,-2.687203413801664831e-01
-9.629361534016657176e-01,-2.697294282647085262e-01
-9.616716316633115991e-01,-2.742037068568342062e-01
-9.604448336118062146e-01,-2.784703244304364556e-01
-9.600357465339678376e-01,-2.798774113375021022e-01
-9.591264621295634285e-01,-2.829777900168762295e-01
-9.569861732469648885e-01,-2.901335282488675116e-01
-9.554961347456033538e-01,-2.950036211408518239e-01
-9.546082375415353427e-01,-2.978642523329200764e-01
-9.540514356676704777e-01,-2.996428842813810833e-01
-9.535253010674302754e-01,-3.013129605979203984e-01
-9.520385505553046190e-01,-3.059781009428101384e-01
-9.513916080471402914e-01,-3.079837790168052924e-01
-9.509838089271753780e-01,-3.092406751356708838e-01
-9.496372501530888632e-01,-3.133513892129263789e-01
-9.464240236617965651e-01,-3.229265666305881077e-01
-9.463601046977294651e-01,-3.231138378907869035e-01
-9.433850793630237375e-01,-3.316995508517133207e-01
-9.420544303634186267e-01,-3.354600575816046870e-01
-9.403699936455853781e-01,-3.401533110980913821e-01
-9.401189307558491803e-01,-3.408465872419370601e-01
-9.397410231152357740e-01,-3.418871297289788336e-01
-9.363651214333728046e-01,-3.510275763570117613e-01
-9.353425090566682698e-01,-3.537433967603662022e-01
-9.333843825192356114e-01,-3.588782446306694185e-01
-9.310079607744438102e-01,-3.649988725662097755e-01
-9.303446181277250648e-01,-3.666863666960897827e-01
-9.288141024916373167e-01,-3.705460335945414130e-01
-9.265871455268526180e-01,-3.760801267607477016e-01
-9.257721511530234704e-01,-3.780819013778704551e-01
-9.254790694186172395e-01,-3.787987487677942355e-01
-9.252807315607677330e-01,-3.792829653469494966e-01
-9.242587135213593541e-01,-3.817667225935832409e-01
-9.210632791440904743e-01,-3.894129373972333719e-01
-9.189238631815030978e-01,-3.944349549362879959e-01
-9.176783095961571490e-01,-3.973242002405004136e-01
-9.167750673649638360e-01,-3.994039006544265469e-01
-9.153837764638410590e-01,-4.025823416231759655e-01
-9.142190317303287017e-01,-4.052203869773366440e-01
-9.127177664407519764e-01,-4.085906005078964731e-01
-9.098040910809053194e-01,-4.150379691696217677e-01
-9.076020129854649454e-01,-4.198316162757714798e-01
-9.072567066942284209e-01,-4.205773034275122613e-01
-9.067635281518807711e-01,-4.216395427537228957e-01
-9.061189080554237218e-01,-4.230230779336487390e-01
-9.040492158175379434e-01,-4.274283745607940777e-01
-9.029321385655897370e-01,-4.297831466511563003e-01
-8.994867464889994002e-01,-4.369480436969941373e-01
-8.966585452731968831e-01,-4.427227723853350283e-01
-8.946073308654939327e-01,-4.468531342194240752e-01
-8.936702836127210503e-01,-4.487242184098786391e-01
-8.924105403881364973e-01,-4.512243648166219812e-01
-8.881213594254631083e-01,-4.596090196376134696e-01
-8.869258540106731425e-01,-4.619118200343432790e-01
-8.861813474975621663e-01,-4.633385580193085662e-01
-8.836559752339875340e-01,-4.681368575889582329e-01
-8.830579478757323297e-01,-4.692639563119215818e-01
-8.820671480369313144e-01,-4.711237059987345988e-01
-8.802325514693351005e-01,-4.745425748379026309e-01
-8.783400927430553562e-01,-4.780362763223383604e-01
-8.767290099220821364e-01,-4.809846600059664579e-01
-8.749791704160837513e-01,-4.841605635922724415e-01
-8.729726023870723051e-01,-4.877692440914513927e-01
-8.702466886127232515e-01,-4.926161801632098491e-01
-8.701240540269260526e-01,-4.928327612930523127e-01
-8.688645603022904229e-01,-4.950498720843343747e-01
-8.672880248280825377e-01,-4.978066712990142362e-01
-8.661321504333545640e-01,-4.998150637842881383e-01
-8.647060903035355128e-01,-5.022781872548115478e-01
-8.608950937343743393e-01,-5.087825051867305159e-01
-8.583571902042169688e-01,-5.130525645825375625e-01
-8.549458236280647050e-01,-5.187173012932273508e-01
-8.535794698774593625e-01,-5.209626556709364698e-01
-8.521310833312993882e-01,-5.233284024593347628e-01
-8.484021955921627889e-01,-5.293521649284218533e-01
-8.473701215441183932e-01,-5.310027091402802490e-01
-8.449380330984339604e-01,-5.348642072748412968e-01
-8.434889215247821648e-01,-5.371465714913915557e-01
-8.431656691240249080e-01,-5.376538425517350950e-01
-8.404376656550925917e-01,-5.419082303750660801e-01
-8.395424254001059294e-01,-5.432941339213090970e-01
-8.377550569571725614e-01,-5.460462109956430998e-01
-8.355987269061692091e-01,-5.493403021741620762e-01
-8.296986965498700517e-01,-5.582114948148757527e-01
-8.290907185477399688e-01,-5.591141032186617288e-01
-8.281765525098065961e-01,-5.604673031256851568e-01
-8.236400314019862723e-01,-5.671129505417096262e-01
-8.230003646816225205e-01,-5.680408433677255342e-01
-8.216087119659326587e-01,-5.700518611685079229e-01
-8.192600721182118351e-01,-5.734221256917718668e-01
-8.180047204488136714e-01,-5.752115065986195264e-01
-8.166581767449930807e-01,-5.771216703222402655e-01
-8.153716502765709917e-01,-5.789378826137179246e-01
-8.141520622773721350e-01,-5.806517196129683533e-01
-8.105254492307385483e-01,-5.857034199569889354e-01
-8.090124293604079586e-01,-5.877915354446494600e-01
-8.069300254308208187e-01,-5.906470469393872991e-01
-8.049770423525965946e-01,-5.933059592531317872e-01
-8.048273437808548536e-01,-5.935090114755227075e-01
-8.039761207637827756e-01,-5.946615821134022539e-01
-8.019673750629315867e-01,-5.973678341982153750e-01
-7.995413133986352117e-01,-6.006110956091070818e-01
-7.956822863501251675e-01,-6.057142058666206141e-01
-7.902306947878644516e-01,-6.128094720343961743e-01
-7.886328897855661157e-01,-6.148643469485420843e-01
-7.882541854790895419e-01,-6.153497697039401748e-01
-7.869880689680133212e-01,-6.169682157955890256e-01
-7.811944100711329941e-01,-6.242878291890853193e-01
-7.803348179213686064e-01,-6.253619527438731840e-01
-7.762423194148679872e-01,-6.304346608090425352e-01
-7.753936094238089716e-01,-6.314782264375521370e-01
-7.721756250836874225e-01,-6.354091626870101983e-01
-7.706464614782153610e-01,-6.372629217294217829e-01
-7.696423433699377536e-01,-6.384752644324037663e-01
-7.676324466656018197e-01,-6.408903391581081133e-01
-7.640510636215130935e-01,-6.451557735763097101e-01
-7.598717503176193322e-01,-6.500730136448061858e-01
-7.575314158465090708e-01,-6.527987086426985108e-01
-7.570684821952554655e-01,-6.533355288567822550e-01
-7.534203631342585306e-01,-6.575391672095622919e-01
-7.519454045065164793e-01,-6.592253853133420716e-01
-7.507923872062177706e-01,-6.605382587808155126e-01
-7.499980627691237300e-01,-6.614400243730031992e-01
-7.465184601848681156e-01,-6.653647034545993044e-01
-7.434644398668868170e-01,-6.687754680409720986e-01
-7.411083726013598660e-01,-6.713854184149149473e-01
-7.385604730340927793e-01,-6.741872348774282653e-01
-7.322665417370433083e-01,-6.810181435560079821e-01
-7.308562860226416324e-01,-6.825313832939795544e-01
-7.254697675712485916e-01,-6.882540347430725625e-01
-7.244521784505977280e-01,-6.893250620267487028e-01
-7.177286800987336957e-01,-6.963228717798529699e-01
-7.156073942500955631e-01,-6.985027253308382367e-01
-7.128746125908174136e-01,-7.012915133690796887e-01
-7.121263730331996999e-01,-7.020513007114086435e-01
-7.097791088384792779e-01,-7.044243157759826346e-01
-7.076252152964334075e-01,-7.065879666939530734e-01
-7.061101261249252969e-01,-7.081020334555295781e-01
-7.040390916564699397e-01,-7.101612193153979957e-01
-7.003982294534766284e-01,-7.137522820828382519e-01
-6.971761995223162423e-01,-7.168998164455275823e-01
-6.956555602009730777e-01,-7.183754878623467288e-01
-6.938865160448384195e-01,-7.200843720364696887e-01
-6.897004850156098765e-01,-7.240947734718385931e-01
-6.886821360965151850e-01,-7.250633871749015968e-01
-6.854945442492371699e-01,-7.280777635696252803e-01
-6.852754885323391054e-01,-7.282839451867439973e-01
-6.785858190129421263e-01,-7.345211271532836594e-01
-6.777355062732134394e-01,-7.353057755359974079e-01
-6.750523781780534138e-01,-7.377698060480396558e-01
-6.743566837722398954e-01,-7.384057577319593779e-01
-6.671278505332801645e-01,-7.449432401484352706e-01
-6.623546707357080843e-01,-7.491904231599558761e-01
-6.606735198027473555e-01,-7.506733645410982314e-01
-6.591816160476059450e-01,-7.519837744691423298e-01
-6.572310741902818165e-01,-7.536891369249600903e-01
-6.553354469298833251e-01,-7.553379720345128057e-01
-6.525279817865353715e-01,-7.577646290145723107e-01
-6.518164516762143812e-01,-7.583767621204124953e-01
-6.503157173849553052e-01,-7.596640492494647345e-01
-6.443528575799124525e-01,-7.647283144546231926e-01
-6.420849220505469024e-01,-7.666335192745981075e-01
-6.419248386377275351e-01,-7.667675668283755464e-01
-6.405623916243688987e-01,-7.679061286618910076e-01
-6.355391355678975396e-01,-7.720686544353528857e-01
-6.322045032565295486e-01,-7.748015656038474974e-01
-6.316515053957764136e-01,-7.752524593519478646e-01
-6.273919706746546865e-01,-7.787036118658863248e-01
-6.243888112668050105e-01,-7.811137000237732275e-01
-6.223454537756231142e-01,-7.827427011252446887e-01
-6.186710903868075651e-01,-7.856501014571215524e-01
-6.134716088378882048e-01,-7.897167752744445046e-01
-6.084528275033166400e-01,-7.935900432233363722e-01
-6.061511625500647371e-01,-7.953494629024550067e-01
-6.040645616979261057e-01,-7.969353833910901574e-01
-6.030311682380131710e-01,-7.977176255627576040e-01
-6.005262060982370365e-01,-7.996050748896381677e-01
-6.004029989685502056e-01,-7.996975921118940622e-01
-5.957637802672093308e-01,-8.031597089755782015e-01
-5.953358758845046506e-01,-8.034769411033799713e-01
-5.865082496455652494e-01,-8.099432530107766315e-01
-5.831101722132883136e-01,-8.123930865421026271e-01
-5.816788545337692184e-01,-8.134185332215556619e-01
-5.784345164325611632e-01,-8.157288214838561702e-01
-5.690611036333214079e-01,-8.222952391517425186e-01
-5.688926882180240785e-01,-8.224117638337092862e-01
-5.644898894851189119e-01,-8.254399824754556914e-01
-5.636711212317202513e-01,-8.259993142184595127e-01
-5.620156166312960666e-01,-8.271266206951287669e-01
-5.581861723953792653e-01,-8.297157326136493927e-01
-5.573150174273862056e-01,-8.303011329330561852e-01
-5.550268469611812083e-01,-8.318324345397477559e-01
-5.492211738468633087e-01,-8.356770322309227117e-01
-5.463180166718638597e-01,-8.375778320011377787e-01
-5.454447890970822721e-01,-8.381467544808860470e-01
-5.426384826987533661e-01,-8.399663547395193053e-01
-5.380851952543290739e-01,-8.428904570868621660e-01
-5.364832757919607564e-01,-8.439109519348143573e-01
-5.343077787309669091e-01,-8.452900079780818476e-01
-5.300647634255992724e-01,-8.479571608133057437e-01
-5.230674118024162267e-01,-8.522913132904252898e-01
-5.200968132773891028e-01,-8.541073145797964949e-01
-5.183314736700834757e-01,-8.551797959511212577e-01
-5.175604481188197381e-01,-8.556466458433975575e-01
-5.158815218645692591e-01,-8.566599415163035358e-01
-5.156183019248441468e-01,-8.568183977484026270e-01
-5.089987658151406968e-01,-8.607672486791361210e-01
-5.082775910267621766e-01,-8.611932944815798852e-01
-5.062091874682275172e-01,-8.624107249581064449e-01
-5.045115170264502513e-01,-8.634049624525443889e-01
-5.017815480527412220e-01,-8.649943803481048299e-01
-4.997261988314416481e-01,-8.661834252636593234e-01
-4.971779577037528375e-01,-8.676485915239701141e-01
-4.971466761370210152e-01,-8.676665156648106780e-01
-4.909767195812559937e-01,-8.711726928854252039e-01
-4.876678054810734131e-01,-8.730292729899078452e-01
-4.832014361432795946e-01,-8.755092073239946204e-01
-4.828396799869114075e-01,-8.757087663316747150e-01
-4.797146590800109855e-01,-8.774245528042541320e-01
-4.704253595716502145e-01,-8.824397889215319646e-01
-4.656951739582366190e-01,-8.849451988411549674e-01
-4.646388576335649945e-01,-8.855002721495808249e-01
-4.603394575670126665e-01,-8.877429717023416211e-01
-4.535772798825610796e-01,-8.912169495551237608e-01
-4.518715880659903150e-01,-8.920829938401027004e-01
-4.456939649336786879e-01,-8.951853939948422045e-01
-4.422225097757927492e-01,-8.969053750801223579e-01
-4.404517188390268956e-01,-8.977762991813458271e-01
-4.381967403703381780e-01,-8.988790890485812701e-01
-4.376429491231998425e-01,-8.991488470118595977e-01
-4.321276594752404554e-01,-9.018124449775929419e-01
-4.298458764885776384e-01,-9.029022773621615539e-01
-4.261902577765103173e-01,-9.046335524268370731e-01
-4.210398983010658069e-01,-9.070421181172555469e-01
-4.184684195772725990e-01,-9.082313481798007793e-01
-4.179089993000477121e-01,-9.084888927796718194e-01
-4.094123299788147152e-01,-9.123494637809076435e-01
-4.032476825949408150e-01,-9.150908733463681832e-01
-4.010912021553533768e-01,-9.160381256004427319e-01
-3.993729964655693410e-01,-9.167885305205967228e-01
-3.988684673926825019e-01,-9.170081492112237553e-01
-3.929980785282736755e-01,-9.195392924030377779e-01
-3.918651205659539061e-01,-9.200226775921422906e-01
-3.904210087047693123e-01,-9.206364298472762275e-01
-3.888231656303792194e-01,-9.213124040569312667e-01
-3.854539289351088249e-01,-9.227270824401424543e-01
-3.738235449207159555e-01,-9.274998421902305168e-01
-3.716834719923060582e-01,-9.283595190699260868e-01
-3.680589193506320078e-01,-9.298024692839069738e-01
-3.657624302365887203e-01,-9.307082489305790185e-01
-3.619828610232374011e-01,-9.321847501034501438e-01
-3.592894571498765899e-01,-9.332261708615672280e-01
-3.559776112415618532e-01,-9.344944838225395234e-01
-3.537122343090949861e-01,-9.353542939977681492e-01
-3.472602831501948040e-01,-9.377687858669915277e-01
-3.440352287770136464e-01,-9.389567409419586896e-01
-3.419971673246467447e-01,-9.397009830482916382e-01
-3.344300865453806448e-01,-9.424205628132502621e-01
-3.336075930630077457e-01,-9.427120312432200055e-01
-3.319609148012223065e-01,-9.432931416290118998e-01
-3.217890252443990629e-01,-9.468113979205508013e-01
-3.200487406098000975e-01,-9.474010785480874164e-01
-3.181343308398865144e-01,-9.480456463383285515e-01
-3.164479371686277354e-01,-9.486098792768934418e-01
-3.106708336340756049e-01,-9.505175606631904861e-01
-3.045693234048683085e-01,-9.524901717291994752e-01
-2.976797046577800421e-01,-9.546658019615338331e-01
-2.917042669572415536e-01,-9.565085575356593317e-01
-2.900773282617934989e-01,-9.570032098318741465e-01
-2.837864972038263156e-01,-9.588874928816155663e-01
-2.807738777679685827e-01,-9.597739471162697322e-01
-2.800786117739419434e-01,-9.599770680733812345e-01
-2.793163479884348543e-01,-9.601991344228669734e-01
-2.785132155718834102e-01,-9.604323967629397885e-01
-2.715698437098481577e-01,-9.624187342250819510e-01
-2.700583698189918946e-01,-9.628439525129242060e-01
-2.668610104965609131e-01,-9.637350263826415242e-01
-2.634490738175939151e-01,-9.646733050647952057e-01
-2.590215523657309338e-01,-9.658715418781378403e-01
-2.539839089351519918e-01,-9.672084439261317002e-01
-2.501138214594028630e-01,-9.682164408410881551e-01
-2.383084948533731040e-01,-9.711895084280516288e-01
-2.364827903047263813e-01,-9.716356775508521171e-01
-2.345109654781609987e-01,-9.721134743796702171e-01
-2.318217939642575054e-01,-9.727582720507699232e-01
-2.307594605162007206e-01,-9.730108279881939382e-01
-2.284088986165541679e-01,-9.735652905854743633e-01
-2.232949759908877951e-01,-9.747509187978581346e-01
-2.173967593619051675e-01,-9.760833207359678187e-01
-2.163057001320378425e-01,-9.763256854607498259e-01
-2.124081520313127747e-01,-9.771810359143520142e-01
-2.097338489740347423e-01,-9.777585144576989018e-01
-2.049480963403630118e-01,-9.787728428018667159e-01
-1.911869956158628869e-01,-9.815536321095112982e-01
-1.870069535742852618e-01,-9.823585899837514734e-01
-1.837101080317172785e-01,-9.829804658318385124e-01
-1.786508951565198011e-01,-9.839125254105631768e-01
-1.778343341490055129e-01,-9.840604400126100604e-01
-1.697782275135207020e-01,-9.854822948497615753e-01
-1.683191500650173256e-01,-9.857325518219419713e-01
-1.671527687044209454e-01,-9.859310076848450954e-01
-1.624248696257956648e-01,-9.867209137983495859e-01
-1.619825281101459624e-01,-9.867936261382428409e-01
-1.609843233093299630e-01,-9.869569634227494115e-01
-1.556795903596653874e-01,-9.878076053288082914e-01
-1.483894303652007751e-01,-9.889290050129366794e-01
-1.483089910594833916e-01,-9.889410716371924703e-01
-1.445965797371950579e-01,-9.894906917845683880e-01
-1.428824201561137708e-01,-9.897396698174486529e-01
-1.392595865641846897e-01,-9.902559101313027634e-01
-1.319238006495122850e-01,-9.912598603909127393e-01
-1.303060681905467144e-01,-9.914738163929097681e-01
-1.271797648973352901e-01,-9.918796839338321902e-01
-1.246046241554463058e-01,-9.922064742981100416e-01
-1.174707818402143528e-01,-9.930763391672631224e-01
-1.168825534257537796e-01,-9.931457439392701314e-01
-1.096398589738582924e-01,-9.939713785236399257e-01
-1.081808154724836490e-01,-9.941312343768835547e-01
-1.028743444195254347e-01,-9.946943597207407173e-01
-9.350563602213740610e-02,-9.956187503417726070e-01
-8.843702582186459271e-02,-9.960817699686002058e-01
-8.724754478942527147e-02,-9.961866621914903241e-01
-8.266264374649344437e-02,-9.965775872097611954e-01
-7.988478041178660727e-02,-9.968041040538230257e-01
-7.788005358082848717e-02,-9.969627361412450872e-01
-7.213357207982247499e-02,-9.973949808270602402e-01
-6.666526507193472340e-02,-9.977753967867184492e-01
-6.516761312557185770e-02,-9.978743318672530505e-01
-6.444651924711050639e-02,-9.979211622953597649e-01
-6.118962801210178770e-02,-9.981261590719566756e-01
-5.928486161952275374e-02,-9.982411057368673069e-01
-5.004103286405607587e-02,-9.987471627143194031e-01
-4.921351795060308759e-02,-9.987882806936317914e-01
-4.601989151857509286e-02,-9.989405235471336963e-01
-4.443940957852609425e-02,-9.990120814466274535e-01
-4.151667204494762647e-02,-9.991378112864616190e-01
-3.777597406403051389e-02,-9.992862331602084813e-01
-3.457436715443185787e-02,-9.994021278423785848e-01
-3.148901493783344552e-02,-9.995040980097305017e-01
-3.005014845718949681e-02,-9.995483923140963123e-01
-2.510155511115541582e-02,-9.996849063234871657e-01
-2.417076464808299435e-02,-9.997078443907091438e-01
-1.742269951920055390e-02,-9.998482132511316012e-01
-1.685458663797052142e-02,-9.998579513657372964e-01
-1.421877394458511724e-02,-9.998989081239778587e-01
-7.681701137643962181e-03,-9.999704952985510875e-01
-7.060951270516259773e-03,-9.999750711728541130e-01
-1.677084647173821604e-03,-9.999985936925581687e-01
2.306106668587208641e-03,-9.999973409324717233e-01
9.461096928684232382e-03,-9.999552428208516863e-01
1.120713209480157617e-02,-9.999371981230702477e-01
1.563867290786104258e-02,-9.998777084772311197e-01
1.757280716013775654e-02,-9.998455863024582335e-01
2.705261125433689254e-02,-9.996340111382335802e-01
